STATE,Region,Population_Trend
TX,South,G+473
FL,South,G+365
NC,South,G+140
GA,South,G+116
SC,South,G+90
TN,South,G+77
VA,South,G+44
AL,South,G+34
OK,South,G+33
AR,South,G+21
KY,South,G+15
DE,South,G+12
MD,South,L+1
MS,South,L+3
WV,South,L+7
LA,South,L+14
AZ,West,G+65
CO,West,G+37
UT,West,G+36
ID,West,G+26
NV,West,G+21
WA,West,G+16
MT,West,G+10
WY,West,G+2
NM,West,G+1
AK,West,L+1
HI,West,L+4
OR,West,L+6
CA,West,L+75
IN,Midwest,G+30
OH,Midwest,G+26
MN,Midwest,G+23
MO,Midwest,G+19
WI,Midwest,G+15
SD,Midwest,G+10
KS,Midwest,G+8
IA,Midwest,G+7
NE,Midwest,G+4
MI,Midwest,G+4
ND,Midwest,G+3
IL,Midwest,L+33
NJ,Northeast,G+30
ME,Northeast,G+9
CT,Northeast,G+8
MA,Northeast,G+4
NH,Northeast,G+4
RI,Northeast,G+1
VT,Northeast,G+1
PA,Northeast,L+10
NY,Northeast,L+102
